t,mode,px_des,py_des,pz_des,vx_des,vy_des,vz_des,ax_des,ay_des,az_des,yaw_des,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,thrust_cmd,tau_x,tau_y,tau_z,rpm0,rpm1,rpm2,rpm3,rpm4,rpm5,rpm6,rpm7,alloc_residual,qp_iter
0.245332,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.932238,-0.000000,0.000000,-0.230636,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4843.784651,0.000000,0.000000,-0.000000,2069.821946,2185.366400,2069.821946,2185.366400,2069.821946,2185.366400,2069.821946,2185.366400,0.007460,75
0.250288,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.931114,-0.000000,0.000000,-0.226954,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4840.824849,0.000000,0.000000,-0.000000,2069.210932,2184.720799,2069.210932,2184.720799,2069.210932,2184.720799,2069.210932,2184.720799,0.007391,75
0.255219,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.930012,-0.000000,0.000000,-0.223320,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4837.909405,0.000000,0.000000,-0.000000,2068.608924,2184.084480,2068.608924,2184.084480,2068.608924,2184.084480,2068.608924,2184.084480,0.007323,75
0.260244,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.928908,-0.000000,0.000000,-0.219647,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4835.021927,0.000000,0.000000,-0.000000,2068.012542,2183.453875,2068.012542,2183.453875,2068.012542,2183.453875,2068.012542,2183.453875,0.007257,75
0.265330,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.927810,-0.000000,0.000000,-0.215961,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4832.093199,0.000000,0.000000,-0.000000,2067.407488,2182.813862,2067.407488,2182.813862,2067.407488,2182.813862,2067.407488,2182.813862,0.007189,75
0.270316,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.926751,-0.000000,0.000000,-0.212377,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4829.145072,0.000000,0.000000,-0.000000,2066.798270,2182.169201,2066.798270,2182.169201,2066.798270,2182.169201,2066.798270,2182.169201,0.007120,75
0.275346,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.925701,-0.000000,0.000000,-0.208793,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4826.269070,0.000000,0.000000,-0.000000,2066.203805,2181.539915,2066.203805,2181.539915,2066.203805,2181.539915,2066.203805,2181.539915,0.007054,75
0.280327,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.924679,-0.000000,0.000000,-0.205275,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4823.383989,0.000000,0.000000,-0.000000,2065.607312,2180.908245,2065.607312,2180.908245,2065.607312,2180.908245,2065.607312,2180.908245,0.006987,75
0.285332,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.923669,-0.000000,0.000000,-0.201769,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,4820.542361,0.000000,-0.000000,-0.000000,2065.019654,2180.285697,2065.019654,2180.285697,2065.019654,2180.285697,2065.019654,2180.285697,0.006922,75
0.290321,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,0.000000,3.922679,-0.000000,0.000000,-0.198306,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,4817.702402,0.000000,-0.000000,-0.000000,2064.432191,2179.663127,2064.432191,2179.663127,2064.432191,2179.663127,2064.432191,2179.663127,0.006856,75
0.295220,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,0.000000,3.921724,-0.000000,0.000000,-0.194936,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4814.887832,0.000000,-0.000000,-0.000000,2063.849831,2179.045738,2063.849831,2179.045738,2063.849831,2179.045738,2063.849831,2179.045738,0.006791,75
